CCTV央视,#genre#
CCTV-1综合,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3
CCTV-1综合,http://171.38.144.205:8088/tsfile/live/0001_1.m3u8
CCTV-1综合,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8
CCTV-1综合,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8
CCTV-1综合,http://video.qd.sdu.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/index.m3u8
CCTV-1综合,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://mom.coms.hk:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://59.44.102.18:8888/newlive/live/hls/2/live.m3u8
CCTV-1综合,http://110.52.99.109:9901/tsfile/live/1000_1.m3u8

CCTV-2财经,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV-2财经,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8
CCTV-2财经,https://epg.pw/stream/9ae57cd4c14b62284d1867572b5c6d0eb610112cb78cb6bbc286e29f765cc7a5.m3u8
CCTV-2财经,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2财经,http://tgjf.wlzsyw.cn:9902/tsfile/live/0002_1.m3u8
CCTV-2财经,http://video.qd.sdu.edu.cn/liverespath/6b13fe5368d391761312a985ace065c0ecad2f5e/index.m3u8
CCTV-2财经,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://gmxw.7766.org:808/hls/20/index.m3u8

CCTV-3综艺,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3
CCTV-3综艺,http://tgjf.wlzsyw.cn:9902/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://120.224.178.16:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://123.7.110.43:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
CCTV-3综艺,http://218.13.170.98:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://58.220.219.14:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-3综艺,http://59.44.102.18:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,http://221.210.64.165:2233/hls/10/index.m3u8
CCTV-3综艺,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8

CCTV-4中文国际,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3
CCTV-4中文国际,http://58.220.219.14:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-4中文国际,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-4中文国际,http://218.13.170.98:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://video.qd.sdu.edu.cn/liverespath/c70d81eefb04fef7777c2a5aab4ddc9459ce4246/index.m3u8
CCTV-4中文国际,http://59.44.102.18:8888/newlive/live/hls/5/live.m3u8
CCTV-4中文国际,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://221.210.64.165:2233/hls/11/index.m3u8
CCTV-4中文国际,http://gmxw.7766.org:808/hls/22/index.m3u8
CCTV-4中文国际,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8

CCTV-5体育,http://182.117.136.42:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://1732e975z9.zicp.fun:8082/hls/5/index.m3u8
CCTV-5体育,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3
CCTV-5体育,http://58.248.112.230:8114/GD.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBSH%2Fdcga0ub9HyjSFJq4wMsikb7ADOVlWhn49oiB6V%2FG&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1714141993662&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=515e9d32fa20cc6a&FvSeid=88fe5578aeee6593&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=18135&Fsv_chan_hls_se_idx=58&Fsv_TBt=8468304&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-5-CQ&Fsv_CMSID=GD_CUCC
CCTV-5体育,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8
CCTV-5体育,http://180.143.86.242:8181/tsfile/live/1016_1.m3u8
CCTV-5体育,http://121.33.239.242:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://video.qd.sdu.edu.cn/liverespath/3f76badfb3a23d95f26ff573a93902bbdb8b8e98/index.m3u8
CCTV-5体育,http://218.13.170.98:9901/tsfile/live/0005_1.m3u8

CCTV-6电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV-6电影,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3
CCTV-6电影,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265006/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=3
CCTV-6电影,http://120.224.178.16:9901/tsfile/live/0006_1.m3u8
CCTV-6电影,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8
CCTV-6电影,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8
CCTV-6电影,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8
CCTV-6电影,http://58.220.219.14:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-6电影,http://218.13.170.98:9901/tsfile/live/0006_1.m3u8
CCTV-6电影,http://mom.cloudns.be:9901/tsfile/live/0006_1.m3u8

CCTV-7国防军事,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000024341/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=3
CCTV-7国防军事,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265007/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=3
CCTV-7国防军事,https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
CCTV-7国防军事,http://218.13.170.98:9901/tsfile/live/0007_1.m3u8
CCTV-7国防军事,http://58.220.219.14:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-7国防军事,http://59.44.102.18:8888/newlive/live/hls/9/live.m3u8
CCTV-7国防军事,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV-7国防军事,http://gmxw.7766.org:808/hls/25/index.m3u8

CCTV-8电视剧,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=3
CCTV-8电视剧,http://59.44.102.18:8888/newlive/live/hls/10/live.m3u8
CCTV-8电视剧,http://58.51.111.46:1111/tsfile/live/1008_1.m3u8
CCTV-8电视剧,https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
CCTV-8电视剧,http://58.220.219.14:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-8电视剧,https://epg.pw/stream/9e5ef6be8ac32d23db431bdc8d9d49531b4bdf96d53db08dd102919b70f12e88.m3u8
CCTV-8电视剧,http://gmxw.7766.org:808/hls/96/index.m3u8
CCTV-8电视剧,http://218.13.170.98:9901/tsfile/live/0008_1.m3u8
CCTV-8电视剧,http://video.qd.sdu.edu.cn/liverespath/9e6e3b618b5dc902d992949f0c669bb674f6cde8/index.m3u8
CCTV-8电视剧,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8

CCTV-9纪录,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV-9纪录,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=3
CCTV-9纪录,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
CCTV-9纪录,http://59.44.102.18:8888/newlive/live/hls/11/live.m3u8
CCTV-9纪录,http://video.qd.sdu.edu.cn/liverespath/0d0f0da65ba843b8d1dd6fed315bfea896ddd20d/index.m3u8
CCTV-9纪录,http://218.13.170.98:9901/tsfile/live/0009_1.m3u8
CCTV-9纪录,http://58.220.219.14:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-9纪录,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV-9纪录,https://epg.pw/stream/468810bb8a5aea0738c0e707e4b0ed227aeb431a11a977aa1a43fd542997f525.m3u8
CCTV-9纪录,http://gmxw.7766.org:808/hls/27/index.m3u8

CCTV-10科教,http://gslbservzqhsw.itv.cmvideo.cn/5000000004000012827/1.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=3
CCTV-10科教,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265010/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=3
CCTV-10科教,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000023734/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV-10科教,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8
CCTV-10科教,http://218.13.170.98:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://video.qd.sdu.edu.cn/liverespath/96f212c8bb9eca90c8f15ae041b4f64b3a3ba67b/index.m3u8
CCTV-10科教,http://59.44.102.18:8888/newlive/live/hls/12/live.m3u8
CCTV-10科教,https://epg.pw/stream/6ef5ffbb8c7555a1beee3d70767d5f42614470f8a2b7344cc478e75a0fe444a1.m3u8
CCTV-10科教,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV-10科教,http://gmxw.7766.org:808/hls/28/index.m3u8

CCTV-11戏曲,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031106/1.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=3
CCTV-11戏曲,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3
CCTV-11戏曲,https://piccpndali.v.myalicdn.com/audio/cctv11_2.m3u8
CCTV-11戏曲,https://epg.pw/stream/6ba4b8f02bff74ce5171e23abaeba2663203fa82ab49744698d429566f706afe.m3u8
CCTV-11戏曲,http://59.44.102.18:8888/newlive/live/hls/13/live.m3u8
CCTV-11戏曲,http://58.220.219.14:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-11戏曲,http://video.qd.sdu.edu.cn/liverespath/3d0aa0f1604f13f0ae90c2dc0590ca22a1bcaaa2/index.m3u8
CCTV-11戏曲,http://218.13.170.98:9901/tsfile/live/0011_1.m3u8
CCTV-11戏曲,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV-11戏曲,http://gmxw.7766.org:808/hls/29/index.m3u8

CCTV-12社会与法,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=3
CCTV-12社会与法,https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8
CCTV-12社会与法,http://218.13.170.98:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://58.220.219.14:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-12社会与法,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://59.44.102.18:8888/newlive/live/hls/14/live.m3u8
CCTV-12社会与法,https://epg.pw/stream/06025da15ba23cad6264166f6216c1cfb7f9bd2e1e759e6eab92ed6fb62f7daa.m3u8
CCTV-12社会与法,http://gmxw.7766.org:808/hls/30/index.m3u8

CCTV-13新闻,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031108/1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3
CCTV-13新闻,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
CCTV-13新闻,http://59.44.102.18:8888/newlive/live/hls/15/live.m3u8
CCTV-13新闻,http://120.224.178.16:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://123.138.216.44:9902/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://58.220.219.14:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-13新闻,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://218.13.170.98:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://218.3.138.25:1111/tsfile/live/1012_1.m3u8

CCTV-14少儿,http://59.44.102.18:8888/newlive/live/hls/16/live.m3u8
CCTV-14少儿,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000008170/1.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=3
CCTV-14少儿,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3
CCTV-14少儿,https://epg.pw/stream/81b7797c31f3ca9a91e207b707f88027d93cf50d35999fc2e33c24e9bf30d709.m3u8
CCTV-14少儿,https://piccpndali.v.myalicdn.com/audio/cctv14_2.m3u8
CCTV-14少儿,http://video.qd.sdu.edu.cn/liverespath/0e0973e58d4835f4b872548164462930003f77b4/index.m3u8
CCTV-14少儿,http://218.13.170.98:9901/tsfile/live/0014_1.m3u8
CCTV-14少儿,http://58.220.219.14:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-14少儿,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV-14少儿,http://gmxw.7766.org:808/hls/32/index.m3u8

CCTV-15音乐,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=3
CCTV-15音乐,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031109/1.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=3
CCTV-15音乐,http://59.44.102.18:8888/newlive/live/hls/17/live.m3u8
CCTV-15音乐,http://58.220.219.14:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-15音乐,https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8
CCTV-15音乐,http://120.224.178.16:9901/tsfile/live/0015_1.m3u8
CCTV-15音乐,http://218.13.170.98:9901/tsfile/live/0015_1.m3u8
CCTV-15音乐,http://gmxw.7766.org:808/hls/102/index.m3u8
CCTV-15音乐,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8

CCTV-16奥林匹克,https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8
CCTV-16奥林匹克,https://epg.pw/stream/9eeb49b6d1048ea7c05421a7409300f43ed5695e937a78feb1cc9eb1cb4de5b4.m3u8
CCTV-16奥林匹克,http://59.44.102.18:8888/newlive/live/hls/18/live.m3u8
CCTV-16奥林匹克,http://gmxw.7766.org:808/hls/169/index.m3u8

CCTV-17农业农村,http://59.44.102.18:8888/newlive/live/hls/19/live.m3u8
CCTV-17农业农村,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=3
CCTV-17农业农村,http://gslbservzqhsw.itv.cmvideo.cn/1000000006000268004/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268004&livemode=1&stbId=3
CCTV-17农业农村,http://159.75.85.63:5678/zb.php?id=douyin
CCTV-17农业农村,http://gmxw.7766.org:808/hls/35/index.m3u8

